-- SG    KRG    KROG   PCOG
SGOF
0.36632653 0.08756768 0.35161404 0.00001686
0.37551020 0.09371095 0.33961672 0.00001716
0.38469388 0.10006247 0.32782765 0.00001747
0.39387755 0.10662224 0.31624683 0.00001778
0.40306122 0.11339025 0.30487426 0.00001811
0.41224490 0.12036651 0.29370993 0.00001845
0.42142857 0.12755102 0.28275384 0.00001881
0.43061224 0.13494377 0.27200601 0.00001917
0.43979592 0.14254477 0.26146642 0.00001956
0.44897959 0.15035402 0.25113507 0.00001995
0.45816327 0.15837151 0.24101198 0.00002037
0.46734694 0.16659725 0.23109713 0.00002080
0.47653061 0.17503124 0.22139052 0.00002125
0.48571429 0.18367347 0.21189216 0.00002172
0.49489796 0.19252395 0.20260205 0.00002222
0.50408163 0.20158267 0.19352019 0.00002273
0.51326531 0.21084965 0.18464657 0.00002327
0.52244898 0.22032486 0.17598120 0.00002384
0.53163265 0.23000833 0.16752408 0.00002443
0.54081633 0.23990004 0.15927520 0.00002506
0.55000000 0.25000000 0.15123457 0.00002571
0.55918367 0.26030820 0.14340218 0.00002641
0.56836735 0.27082466 0.13577805 0.00002714
0.57755102 0.28154935 0.12836215 0.00002791
0.58673469 0.29248230 0.12115451 0.00002873
0.59591837 0.30362349 0.11415511 0.00002960
0.60510204 0.31497293 0.10736396 0.00003052
0.61428571 0.32653061 0.10078105 0.00003150
0.62346939 0.33829654 0.09440639 0.00003255
0.63265306 0.35027072 0.08823998 0.00003366
0.64183673 0.36245314 0.08228182 0.00003486
0.65102041 0.37484382 0.07653190 0.00003615
0.66020408 0.38744273 0.07099023 0.00003753
0.66938776 0.40024990 0.06565680 0.00003903
0.67857143 0.41326531 0.06053162 0.00004065
0.68775510 0.42648896 0.05561469 0.00004240
0.69693878 0.43992087 0.05090600 0.00004432
0.70612245 0.45356102 0.04640556 0.00004642
0.71530612 0.46740941 0.04211337 0.00004873
0.72448980 0.48146606 0.03802942 0.00005128
0.73367347 0.49573095 0.03415372 0.00005411
0.74285714 0.51020408 0.03048627 0.00005727
0.75204082 0.52488546 0.02702706 0.00006083
0.76122449 0.53977509 0.02377610 0.00006485
0.77040816 0.55487297 0.02073339 0.00006945
0.77959184 0.57017909 0.01789892 0.00007475
0.78877551 0.58569346 0.01527270 0.00008092
0.79795918 0.60141608 0.01285473 0.00008820
0.80714286 0.61734694 0.01064500 0.00009692
